path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,3,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\__main__.cpython-312.pyc,__main__.cpython-312,.pyc,0,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\py.typed,py,.typed,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py,_impl,.py,14,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py,__init__,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py,_in_process,.py,11,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__init__.py,__init__,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__pycache__\_in_process.cpython-312.pyc,_in_process.cpython-312,.pyc,14,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__pycache__\_impl.cpython-312.pyc,_impl.cpython-312,.pyc,17,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,0,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py,adapters,.py,26,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\api.py,api,.py,6,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\auth.py,auth,.py,9,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\certs.py,certs,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\compat.py,compat,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py,cookies,.py,18,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\exceptions.py,exceptions,.py,4,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\help.py,help,.py,3,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\hooks.py,hooks,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\models.py,models,.py,34,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\packages.py,packages,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py,sessions,.py,29,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\status_codes.py,status_codes,.py,4,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\structures.py,structures,.py,2,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\utils.py,utils,.py,32,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py,_internal_utils,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__init__.py,__init__,.py,4,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__version__.py,__version__,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\adapters.cpython-312.pyc,adapters.cpython-312,.pyc,27,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\api.cpython-312.pyc,api.cpython-312,.pyc,7,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\auth.cpython-312.pyc,auth.cpython-312,.pyc,13,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\certs.cpython-312.pyc,certs.cpython-312,.pyc,0,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\compat.cpython-312.pyc,compat.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\cookies.cpython-312.pyc,cookies.cpython-312,.pyc,24,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\exceptions.cpython-312.pyc,exceptions.cpython-312,.pyc,7,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\help.cpython-312.pyc,help.cpython-312,.pyc,4,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\hooks.cpython-312.pyc,hooks.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\models.cpython-312.pyc,models.cpython-312,.pyc,34,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\packages.cpython-312.pyc,packages.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\sessions.cpython-312.pyc,sessions.cpython-312,.pyc,27,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\status_codes.cpython-312.pyc,status_codes.cpython-312,.pyc,5,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\structures.cpython-312.pyc,structures.cpython-312,.pyc,5,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\utils.cpython-312.pyc,utils.cpython-312,.pyc,35,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\_internal_utils.cpython-312.pyc,_internal_utils.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,5,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
